Exact Age,Male,Female
0,0.00524,0.00266
1,0.00053,0.00041
2,0.00042,0.00031
3,0.00034,0.00024
4,0.00029,0.00021
5,0.00026,0.00020
6,0.00023,0.00022
7,0.00021,0.00023
8,0.00020,0.00022
9,0.00020,0.00021
10,0.00019,0.00019
11,0.00019,0.00018
12,0.00019,0.00020
13,0.00020,0.00022
14,0.00023,0.00023
15,0.00027,0.00023
16,0.00031,0.00024
17,0.00037,0.00024
18,0.00043,0.00025
19,0.00047,0.00026
20,0.00049,0.00027
21,0.00049,0.00028
22,0.00049,0.00030
23,0.00049,0.00032
24,0.00050,0.00034
25,0.00052,0.00038
26,0.00055,0.00042
27,0.00060,0.00046
28,0.00065,0.00049
29,0.00070,0.00052
30,0.00075,0.00056
31,0.00081,0.00060
32,0.00087,0.00064
33,0.00093,0.00069
34,0.00099,0.00074
35,0.00107,0.00080
36,0.00116,0.00086
37,0.00127,0.00093
38,0.00139,0.00100
39,0.00155,0.00108
40,0.00173,0.00118
41,0.00193,0.00128
42,0.00216,0.00141
43,0.00241,0.00154
44,0.00270,0.00169
45,0.00302,0.00187
46,0.00338,0.00209
47,0.00377,0.00230
48,0.00418,0.00253
49,0.00461,0.00277
50,0.00508,0.00305
51,0.00556,0.00335
52,0.00609,0.00368
53,0.00667,0.00403
54,0.00727,0.00442
55,0.00789,0.00483
56,0.00847,0.00524
57,0.00898,0.00563
58,0.00939,0.00601
59,0.00971,0.00636
60,0.00999,0.00671
61,0.01024,0.00707
62,0.01046,0.00746
63,0.01071,0.00788
64,0.01104,0.00833
65,0.01146,0.00883
66,0.01199,0.00940
67,0.01260,0.01005
68,0.01329,0.01076
69,0.01405,0.01150
70,0.01485,0.01229
71,0.01574,0.01314
72,0.01670,0.01406
73,0.01777,0.01508
74,0.01895,0.01620
75,0.02026,0.01743
76,0.02369,0.01879
77,0.02738,0.02030
78,0.03130,0.02326
79,0.03693,0.02880
80,0.04518,0.03569
81,0.05527,0.04208
82,0.06732,0.04907
83,0.08228,0.05520
84,0.09478,0.06086
85,0.10465,0.06715
86,0.11533,0.07318
87,0.12698,0.08155
88,0.13947,0.09045
89,0.15271,0.10001
90,0.16659,0.10913
91,0.17991,0.11521
92,0.19390,0.12499
93,0.20874,0.13826
94,0.22451,0.15451
95,0.24126,0.17429
96,0.25715,0.19155
97,0.27419,0.20596
98,0.29249,0.22227
99,0.31215,0.23736
100,0.33331,0.25810
101,0.35163,0.28068
102,0.37132,0.30562
103,0.39250,0.33315
104,0.41527,0.36369
105,0.43973,0.39318
106,0.46602,0.42883
107,0.49429,0.46604
108,0.52467,0.50427
109,0.55733,0.54477
110,0.59244,0.58702
111,1.00000,1.00000